label,text
accidente,Tuve un accidente menor y quiero reportarlo.
póliza,Necesito revisar los detalles de mi póliza.
pago,Quiero saber si ya se registró mi pago.
siniestro,Deseo abrir un siniestro por daños en mi auto.
cobertura,¿Mi seguro cubre robo total?
cancelación,Quiero cancelar mi seguro por cambio de vehículo.
accidente,Choqué en el estacionamiento y necesito apoyo.
póliza,No encuentro el número de póliza en mi contrato.
pago,Mi recibo aparece vencido aunque ya pagué.
siniestro,Voy a reportar un siniestro por inundación.
cobertura,¿La póliza incluye gastos médicos?
cancelación,Solicito la cancelación del plan vigente.
