label,text
deportes,El equipo ganó el campeonato en tiempo extra.
tecnología,Presentaron un nuevo teléfono con cámara avanzada.
economía,El dólar registró cambios en la jornada de hoy.
política,El congreso aprobó una nueva reforma.
ciencia,Investigadores descubrieron un nuevo exoplaneta.
entretenimiento,La película rompió récord de taquilla.
deportes,La selección nacional anunció su convocatoria.
tecnología,Una empresa lanzó una actualización de software.
economía,Subieron los precios de varios productos básicos.
política,El candidato presentó sus propuestas de campaña.
ciencia,Un laboratorio publicó resultados sobre energía limpia.
entretenimiento,El cantante anunció una gira por Latinoamérica.
