label,text
inscripción,Quiero inscribirme a las materias del siguiente semestre.
calificaciones,No aparecen mis calificaciones de matemáticas.
becas,Necesito saber los requisitos para solicitar una beca.
titulación,¿Qué documentos piden para iniciar la titulación?
servicio_social,Busco información sobre dónde liberar mi servicio social.
problema_tecnológico,La plataforma escolar no me deja subir tareas.
inscripción,¿Dónde puedo cambiar de grupo durante la inscripción?
calificaciones,Mi promedio no coincide con el que aparece en el sistema.
becas,Quisiera saber si aún hay becas disponibles este semestre.
titulación,¿Cuándo abren el proceso de titulación?
servicio_social,No sé cómo registrar mi servicio social en el portal.
problema_tecnológico,No puedo entrar al correo institucional.
