label,text
positivo,La clase fue clara y muy útil para aprender.
negativo,No entendí nada porque el tema quedó muy confuso.
sugerencia,Podrían dejar más ejercicios para practicar.
queja,La plataforma se cae justo cuando entregamos tareas.
duda,¿Habrá examen la próxima semana?
positivo,Me gustó mucho la explicación del profesor.
negativo,El material estaba desordenado y difícil de seguir.
sugerencia,Sería bueno incluir ejemplos más sencillos.
queja,La fecha de entrega cambió sin avisar.
duda,¿La asistencia cuenta para la calificación final?
