label,text
spam,¡Felicidades! Ganaste una tarjeta de regalo y reclama tu premio aquí.
no_spam,Te comparto el archivo con la tarea de hoy.
spam,Tu cuenta será bloqueada si no confirmas tus datos en este enlace.
no_spam,Mañana tenemos clase a las 8:00 en el salón 4.
spam,Oferta exclusiva: préstamo inmediato sin revisión y con aprobación hoy.
no_spam,Gracias por la información quedo atento a tus comentarios.
spam,Haz clic para recibir un descuento del 90% en productos premium.
no_spam,Adjunto el comprobante de pago del mes.
spam,Has sido seleccionado para un iPhone gratis.
no_spam,Nos vemos el viernes para revisar el proyecto.
