label,text
calidad,La calidad del material es excelente.
precio,Me parece caro para lo que ofrece.
envío,El envío llegó rápido y bien empaquetado.
atención_cliente,La atención al cliente fue muy amable.
producto_defectuoso,El producto llegó con una falla de fábrica.
satisfacción,Estoy muy satisfecho con mi compra.
calidad,Se nota que es resistente y duradero.
precio,Encontré una mejor opción al mismo precio.
envío,El paquete tardó más de lo esperado.
atención_cliente,Respondieron mis dudas de forma rápida.
producto_defectuoso,La bocina no enciende aunque estaba nueva.
satisfacción,Volvería a comprar sin problema.
