label,text
hardware,La computadora no enciende aunque está conectada.
software,El programa marca error al instalarse.
red,No tengo conexión a internet en la oficina.
acceso,No puedo entrar al sistema con mi usuario.
contraseña,Olvidé mi contraseña y necesito restablecerla.
impresora,La impresora no imprime y queda en pausa.
hardware,El teclado dejó de responder de repente.
software,La aplicación se congela cuando abro un archivo.
red,El Wi-Fi se desconecta cada pocos minutos.
acceso,Mi usuario fue deshabilitado y necesito acceso otra vez.
contraseña,No me llega el correo para cambiar mi contraseña.
impresora,Sale una hoja en blanco cada vez que intento imprimir.
