label,text
sin_servicio,Desde ayer no tengo señal en mi teléfono.
internet_lento,Mi internet está muy lento en las noches.
facturación,La factura llegó con un cargo que no reconozco.
saldo,Quiero saber cuánto saldo me queda.
contratación,Deseo contratar un plan de datos más grande.
cancelación,Necesito cancelar la línea porque ya no la usaré.
sin_servicio,Mi chip marca sin servicio en todas partes.
internet_lento,Las páginas tardan demasiado en cargar.
facturación,Me cobraron dos veces la misma mensualidad.
saldo,¿Cuánto saldo tengo disponible para llamadas?
contratación,Quiero cambiarme a un plan con llamadas ilimitadas.
cancelación,Deseo dar de baja el servicio móvil.
